Name	Biografie
Eckert, Leon	Geboren am 9. April 1995 in München. Seit 2019 Kommunalreferent für die Grünen und Alternativen in den Räten Bayerns (Gribs) und Bündnis 90/Die Grünen Bayern; seit 2019 Masterstudium in Management und Technology (TUM); 2017 bis 2019 Geschäftsführer und Mitgründer der Kleider machen Bräute GmbH; 2016 bis 2018 studentischer Mitarbeiter im Wahlkreisbüro von Beate Walter-Rosenheimer, MdB; 2015 bis 2020 Bachelor in Geschichte und Politikwissenschaft (LMU); 2014 bis 2019 Bachelor in Technologie- und Management orientierte Betriebswirtschaftslehre (TUM); 2014 Allgemeine Hochschulreife an der Städtischen Robert-Bosch Fachoberschule für Wirtschaft, Verwaltung und Rechtspflege, München. 2018 bis 2021 Teil der Mitgliederversammlung der Petra-Kelly-Stiftung; 2015 bis 2017 Mitglied des Landesvorstandes der Grünen Jugend Bayern; 2014 bis 2016 Mitglied im Kreisvorstand Bündnis 90/Die Grünen Freising; seit 2015 Mitglied bei den Grünen und Alternativen in den Räten Bayerns (Gribs); 2013 bis 2015 Sprecher und Mitgründer des Ortsverbandes Bündnis 90/Die Grünen Eching; 2011 bis 2014 Sprecher/Vorsitzender der Grünen Jugend Freising; seit 2011 Mitglied von Bündnis 90/Die Grünen; seit 2011 Mitglied der Grünen Jugend Seit  2020 3. Bürgermeister der Gemeinde Eching; seit 2020 Kreisrat des Landkreis Freising, seit 2020 Mitglied des Ausschusses für Schule, Kultur und Sport; seit 2020 Mitglied der Verbandsversammlung des Zweckverbands der Stadt- und Kreissparkasse Freising und stellvertretender Verwaltungsrat; seit 2014 Gemeinderat der Gemeinde Eching; seit 2020 Teil der Mitgliederversammlung des Heideflächenverein Münchener Norden e.V.; seit 2020 Verbandsrat im Zweckverband Versorgungs- und Verkehrsbetriebe Neufahrn/Eching; seit 2020 Mobilitätsreferent der Gemeinde Eching; 2018 bis 2020 Radbeauftragter der Gemeinde Eching; 2014 bis 2020 Mitglied des Bau- Planungs- und Umweltausschuss (BPU) der Gemeinde Eching. Seit 2021 Mitglied des BUND Naturschutz; seit 2021 Mitglied der Freiwilligen Feuerwehr Weng; seit 2020 Mitglied im Aufsichtsrat der Bürgerenergiegenossenschaft Freisinger Land; seit 2020 Mitglied bei ver.di, seit 2017 Mitglied des Allgemeinen Deutschen Fahrrad Clubs; seit 2015 Mitglied der Freiwilligen Feuerwehr Eching.
Edelhäußer, Ralph	Geboren am 22. März 1973 in Roth.
Ehrhorn, Thomas	Geboren am 20. März 1959 in Helmstedt evangelisch verheiratet ein Kind. Grundschule; Gymnasium Neue Oberschule Braunschweig; Abitur; 1978 bis 1980 Wehrdienst; Architekturstudium. Berufspilotenlizenz/ Instrumentenflugberechtigung; Fluglehrer; Verkehrsflugzeugführer-Lizenz; Langjährige Tätigkeit in der Ambulanz- und Geschäftsfliegerei; danach Vermessungspilot bei einer Tochterfirma der Deutschen Flugsicherung. Seit Juni 2013 Kreisvorsitzender KV Celle; Beisitzer, seit März 2015 stellvertretender Landesvorsitz Niedersachsen.
Eichwede, Sonja	Geboren am 25. Oktober 1987 in Bremen evangelisch-lutherisch ledig. 2016 bis 2018 Regionalgeschäftsführerin der SPD-Brandenburg für Brandenburg an der Havel und das Havelland; 2018 bis 2020 wissenschaftliche Mitarbeiterin im Bundestagsbüro von Dagmar Ziegler, MdB; 2017 bis 2019 Lehrbeauftragte für Polizei- und Beamtenrecht an der Hochschule für Wirtschaft und Recht Berlin (HWR) für Anwärterinnen und Anwärter für den gehobenen Polizeivollzugsdienst; seit 2020 Richterin in der ordentlichen Gerichtsbarkeit im Land Brandenburg, Landgerichtsbezirk Neuruppin. Ausbildung: Abitur am Kippenberg Gymnasium Bremen, 2007. Nach einem High School Jahr in den USA erhalt des Amerikanischen High School Diploms 2005; 2007 bis 2013 Studium der Rechtswissenschaften an de Eberhardt-Karls-Universität Tübingen; 2010 Erasmusstipendium an der Universität Oslo; 2013 Erste Juristische Staatsprüfung; 2013 bis 2015 Referendariat am Hanseatischen Oberlandesgericht Bremen mit Stationen beim Landgericht Bremen, der Staatsanwaltschaft Bremen, der Deutschen Botschaft in Nairobi (Kenia), der Rechtsanwaltskanzlei Raus LLP, Berlin sowie der ständigen Vertretung der Bundesrepublik Deutschland bei den Vereinten Nationen in New York (USA). 2016 Traineeship beim Europarat in Straßburg in der Abteilung: Human Rights Law and Policy; Unit Human Rights Intergovernmental Co-Operation Division DGI .
Emmerich, Marcel	Geboren am 12. Mai 1991 in Reutlingen römisch-katholisch ledig. 2010 Abitur am Sozialwissenschaftliches Gymnasium Engel, Reutlingen; 2010 bis 2011 Zivildienst beim Bund Deutscher PfadfinderInnen Baden-Württemberg; 2011 bis 2016  Political and Social Studies an der Julius-Maximilians-Universität Würzburg, Abschluss Bachelor of Arts ; seit 2017  Governance M.A. (Politik- und Verwaltungswissenschaften) an der FernUniversität Hagen. 2015 bis 2016 freier Radiojournalist (Radio 7); 2016 bis 2020 wissenschaftlicher Mitarbeiter bei Alex Maier MdL; 2021 wissenschaftlicher Mitarbeiter bei Christine Lipp-Wahl MdL und Michael Joukov-Schwelling MdL. Mitgliedschaften: VfB Stuttgart; Reporter ohne Grenzen; Bund für Umwelt und Naturschutz Deutschland. Seit 2008 aktiv bei Bündnis 90/Die Grünen; 2011 bis 2015 Landessprecher der Grünen Jugend Baden-Württemberg; seit 2015 Mitglied im Landesvorstand von Bündnis 90/Die Grünen Baden-Württemberg; seit 2017 Kreisvorsitzender von Bündnis 90/Die Grünen Ulm.
Engelhard, Alexander	Geboren am 26. September 1972 in Ulm römisch-katholisch verheiratet zwei Kinder. Abitur am Technischen Gymnasium in Ulm; Ausbildung zum Müller; Studium zum Diplom Wirtschaftsingenieur (FH) an der Fachhochschulen in Neu-Ulm und Ulm. Ortsobmann im Bayerischen Bauernverband; Mitglied im Bayerischen Müllerverband.
Engelhardt, Heike	Geboren am 5. Juni 1961 in Stuttgart evangelisch-lutherisch verheiratet zwei Kinder. Abitur am Königin-Katharina-Stift in Stuttgart; Studium Lehramt an Grund- und Hauptschulen an der Pädagogischen Hochschule Esslingen, erstes Staatsexamen; Staatliches Seminar für schulpraktische Ausbildung Tettnang, zweites Staatsexamen. Redaktionsvolontariat bei der Schwäbischen Zeitung in Leutkirch. Referentin für Kommunikation und Pressesprecherin, Referentin für Führungskräfteveranstaltungen und Stellvertretende Beauftragte für Chancengleichheit beim Zentrum für Psychiatrie Südwürttemberg. Systemische Coach und Prozessbegleiterin. 2014 Eintritt in die SPD, stellvertretende Vorsitzende des Ortsvereins Ravensburg; 2015 bis 2020 Vorsitzende der Arbeitsgemeinschaft Sozialdemokratischer Frauen im Kreis Ravensburg; seit 2016 Vorsitzende des Kreisverbandes Ravensburg; seit 2017 Stadträtin, seit 2018 Fraktionsvorsitzende im Gemeinderat Ravensburg; seit 2018 Vorsitzende in der Doppelspitze des Ortsvereins Ravensburg. Mitglied: Arbeiterwohlfahrt, BUND, Gegen Vergessen Für Demokratie, Gewerkschaft ver.di, Künstlerisch-wissenschaftliche Beirätin Förderverein Inklusionstheater „companie paradox Ravensburg“, Freundeskreis „Pro Kuppelnau“ zur Unterstützung der Grundschule Kuppelnau, stellvertretende Vorsitzende Förderverein für die Kinder- und Jugendpsychiatrie „Villa Kunterbunt“, stellvertretende Vorsitzende Städtepartnerschaftsverein Ravensburg „Die Brückenbauer“
Englhardt-Kopf, Martina	Geboren am 8. Juni 1981 in Schwandorf. 1993 bis 1997 Mädchenrealschule der Dominikanerinnen Schwandorf, Abschluss: Mittlerer Bildungsabschluss; 1997 bis 2000 Rotes Kreuz, Kreisverband Schwandorf Ausbildung; Abschluss: Bürokauffrau (IHK), Berufsausbildung; 2000 bis 2002 Staatliche Berufliche Oberschule Schwandorf Abschluss: Fachhochschulreife und Fachgebundene Hochschulreife Fachrichtung Wirtschaft; 2002 bis 2004  Friedrich-Alexander-Universität Erlangen- Nürnberg, Wirtschafts- und Sozialwissenschaftliche Fakultät Grundstudium Wirtschaftspädagogik, Zweitfach Englisch; 2004 bis 2005 Universität Hull, Großbritannien, Auslandsstudium Abschluss: Bachelor of Arts (Business) with Honours; 2005/2007 Universität Erlangen-Nürnberg, Hauptstudium Abschluss: Diplom-Handelslehrerin (Univ.), Anrechnung als 1. Staatsexamen; 2007 bis 2008 Mathias-von-Flurl-Schule, Staatliche Berufsschule II Straubing-Bogen und Beruflichen Oberschule Straubing; Referendariat 1. Jahr; 2008 bis 2009 Europa-Berufsschule Weiden, Weiden in der Oberpfalz, Referendariat 2. Jahr; Abschluss: 2. Staatsexamen. 2009 bis 2014 Europa-Berufsschule Weiden in der Oberpfalz Unterrichtstätigkeit, Studienrätin Fachrichtung Wirtschaftswissenschaften und Englisch; 2014 bis 2021 Oktober Abordnung an die Regierung der Oberpfalz; SG 42.1 Berufliche Schulen, Bereich 4,Verwaltungstätigkeit in der Schulaufsicht, Koordinatorin für Berufsintegration, Studiendirektorin seit 2007 Stellvertretende FU-Ortsvorsitzende; 2007 bis 2011 JU-Ortsvorsitzende; 2007 bis 2009 JU-Kreisvorsitzende; seit 2013 CSU-Ortsvorsitzende Schwandorf; seit 2013 Stellvertretende CSU-Kreisvorsitzende Kreisverband Landkreis Schwandorf; seit 2021 Stellvertretende CSU-Bezirksvorsitzende Oberpfalz. Mitgliedschaften AKU, CSA, ELF, in zahlreichen Vereinen und Verbänden. Seit Mai 2008 Stadträtin der Großen Kreisstadt Schwandorf; Mai 2014 bis April 2020 3. Bürgermeisterin der Großen Kreisstadt Schwandorf; seit 2015 Kreisrätin des Landkreises Schwandorf; seit 2019 Fraktionsvorsitzende der CSU-Kreistagsfraktion im Kreistag des Landkreises Schwandorf; seit 2020 2. Bürgermeisterin der Großen Kreisstadt Schwandorf.
Erndl, Thomas	Geboren am 22. Juli 1974 in Osterhofen römisch-katholisch verheiratet drei Kinder. 1990 Realschulabschluss; 1990 bis 1993 Ausbildung zum Energieelektroniker; 1993 bis 1994 Fachoberschule Passau; 1994 bis 1996 Zeitsoldat und Ausbildung zum Reserveoffizier beim Gebirgspanzeraufklärungsbataillon 8 in Freyung; 1996 1. Kontingent IFOR in Bosnien, Dienstgrad: Lt. d. R.; 1996 bis 2002 Studium Elektrotechnik mit Schwerpunkt Mikroelektronik an der FH Regensburg. Seit Abschluss des Studiums in der Halbleiterindustrie in verschiedenen Positionen tätig. Zuletzt bei einem europäischen Technologiekonzern für die Beziehungen zu einem Automobilhersteller verantwortlich. Seit 1991 JU- und CSU-Mitglied; 1993 bis 2009 JU Ortsvorsitzender Künzing-Forsthart; seit 2002 Gemeinderat Gemeinde Künzing; seit 2005 CSU Ortsvorsitzender Künzing-Forsthart; seit 2017 Vorsitzender CSU Bundeswahlkreiskonferenz Wahlkreis 227 Deggendorf. Seit 2017 Mitglied des Deutschen Bundestages. 
Ernst, Klaus	Geboren am 1. November 1954 in München; konfessionslos; ledig. Realschule; 1974 Facharbeiterprüfung; berufliche Tätigkeit als Elektromechaniker und Elektrotechniker; Jugendvertreter und Betriebsrat; Wahl zum Vorsitzender des Ortsjugendausschusses der IG Metall und der DGB Jugend in München; 1979 bis 1984 Studium der Volkswirtschaft und Sozialökonomie; Abschluss Diplom-Volkswirt und Diplom-Sozialökonom. Mitglied der IG Metall; Mitarbeit in der Organisation des Streiks 1984 zur Durchsetzung der 35-Stunden-Woche; Nach dem Studium Anstellung als Gewerkschaftssekretär in der Stuttgarter IG Metall; 1995 bis 2010 gewählter 1. Bevollmächtigter der IG Metall Schweinfurt. Seit 1972 Mitglied der IG Metall; 30 Jahre lang Mitglied der SPD; 2004 Ausschluss aus der SPD; Gründung des Vereins und der Partei „Wahlalternative Arbeit und Soziale Gerechtigkeit“ (WASG); Juni 2007 bis Mai 2010 stellvertretender Parteivorsitzender der Partei Die Linke; Mai 2010 bis Juni 2012 Vorsitzender der Partei Die Linke. Mitglied des Bundestages seit 2005; 2005 bis 2009 stellvertretender Vorsitzender der Bundestagsfraktion Die Linke; 2005 bis 2012 Mitglied im Vorstand der Bundestagsfraktion Die Linke; 2005 bis 2009 Leiter des Arbeitskreises „Gesundheit und soziale Sicherung“ der Fraktion Die Linke; 2009 bis 2010 Leiter des Arbeitskreises „Arbeit und Soziale Sicherung“; 2012 bis 2013 ordentliches Mitglied im Ausschuss für Arbeit und Soziales des Deutschen Bundestages. Stimmberechtigtes Mitglied der Arbeitsgruppe European Green Deal   und beratendes Mitglied der Arbeitsgruppe Harmonisierung des deutschen und des französischen Wirtschafts- und Insolvenzrechts der Deutsch-Französischen Parlamentarischen Versammlung.
Esdar, Dr. Wiebke	Geboren am 11. Februar 1984 in Bielefeld evangelisch verheiratet ein Kind. 2003 allgemeine Hochschulreife (Abitur) am städtischen Helmholtz-Gymnasium Bielefeld; 2010 Diplom-Psychologie, Uni Bielefeld und Bachelor Sozialwissenschaften und Geschichte, Uni Bielefeld; 2015 Promotion Dr. phil. in Psychologie, Universität Bielefeld. Seit März 2010 wissenschaftliche Angestellte Uni Bielefeld; 2010 bis 2012 Projektmitarbeiterin ConGo - Conflicting Goals@ universities ; 2011 bis 2014 Promotionsstipendiatin Hans-Böckler-Stiftung; 2015 bis 2017 Projektleitung HeLGA - Heterogenitätsorientierte Lehre - Gelingensbedingungen und Anforderungen. Seit 2005 Mitglied der SPD; 2011 bis 2014 Vorsitzende der Jusos Bielefeld; 2014 bis 2018 Ratsmitglied Stadt Bielefeld; seit 2016 Vorsitzende SPD Bielefeld. Mitgliedschaften: 1. Bielefelder Schwimmverein 1902 e.V.; IG Metall; GEW; Bielefelder Bündnis gegen Rechts; Universitätsgesellschaft Bielefeld; Theater- und Konzertfreunde Bielefeld; Gesellschaft für Hochschulforschung (GfHf).
Esken, Saskia	Veröffentlichungspflichtige Angaben für die 20. Wahlperiode liegen zurzeit nicht vor. Anzeigen nach den Verhaltensregeln für die Mitglieder des Bundestages sind gemäß § 45 Absatz 5 Abgeordnetengesetz innerhalb einer Frist von drei Monaten nach Erwerb der Mitgliedschaft im Bundestag einzureichen. Die veröffentlichungspflichtigen Angaben der Abgeordneten der 20. Wahlperiode werden nach Ablauf dieser Frist und Bearbeitung der Daten veröffentlicht. Die veröffentlichungspflichtigen Angaben der Abgeordneten der vergangenen Wahlperioden finden Sie im Archiv .
Espendiller, Dr. Michael	Geboren am 5. Mai 1989 in Leonberg ledig. 2005 Elisabeth-von-Thüringen Realschule, Reken; 2008 Abitur am Gymnasium Remigianum, Borken; 2013 Studium der Mathematik und Volkswirtschaftslehre an der Westfälische Wilhelms-Universität Münster; 2017 Promotion an der RWTH Aachen. 2008 bis 2009 freiberufliche Lehrkraft; 2010 bis 2013 studentische Hilfskraft (Westfälische Wilhelms-Universität Münster); 2013 bis 2017 wissenschaftlicher Mitarbeiter (RWTH Aachen). Mitglied im AfD-Mittelstandsforum. 2013 bis 2014 stellvertretender Bundesvorsitzender der Jungen Alternative; 2013 bis 2015 Mitglied im Kreisvorstand Aachen der AfD-NRW; 2013 bis 2017 Mitglied im Bezirksvorstand Köln der AfD-NRW. Seit 2017 Parlamentarischer Geschäftsführer der AfD-Bundestagsfraktion.
Faber, Dr. Marcus	Geboren am 4. Februar 1984 in Stendal konfessionslos geschieden. 2003 Grundwehrdienst als Panzerpionier; Elb-Havel-Kaserne Havelberg; 2003 bis 2008 Studium der Politikwissenschaften an der Universität Potsdam; 2007 Auslandssemester an der University of Western Sydney (Australien); Seit 2007 Vorsitzender des FDP-Kreisverbandes Stendal; 2008 Diplom an der Universität Potsdam (Schwerpunkte „Das politische System der BRD“ und „Analyse und Vergleich politischer Systeme“); 2009 bis 2011 Landesvorsitzender der Jungen Liberalen Sachsen-Anhalt e.V.; 2009 bis 2012 Lehrauftrag am Lehrstuhl für Vergleichende Politikwissenschaft der Universität Potsdam; 2009 bis 2013 Promotionsstudium an der Universität Potsdam zum Thema „Direkte Demokratie auf Länderebene - Eine fallbezogene Vergleichsstudie zwischen Brandenburg, Niedersachsen und Sachsen-Anhalt“ - Doktorarbeit abgeschlossen und im Juni erfolgreich verteidigt. Seit 2010 Stadtrat der Hansestadt Stendal; 2010 bis 2012 Begabtenstipendium der Stiftung der deutschen Wirtschaft; seit 2011 stellvertretender Landesvorsitzender der FDP Sachsen-Anhalt; seit 2013 Präsidiumsmitglied Ambassadors Club e.V.; 2013 Wissenschaftlicher Mitarbeiter im Deutschen Bundestag; 2013 bis 2014 Referent für Grundsatzfragen im Landtag von Brandenburg; seit 2014 Referent für Handel Kommunales, Hotel, Logistik und Bürgerbeteiligung beim Zentralen Immobilien Ausschuss e.V.; seit 2017 Mitglied des Deutschen Bundestages; seit 2018 Ordentliches Mitglied im Verteidigungsausschuss und stellvertretendes Mitglied im Ausschuss für Ernährung und Landwirtschaft sowie stellvertretendes Mitglied im Ausschuss für Bau, Wohnen, Stadtentwicklung und Kommunen; seit 2019 Vizepräsident der Deutsch-Israelischen Gesellschaft und Vizepräsident der Deutsch-Taiwanischen Gesellschaft e.V..
Fahimi, Yasmin	Geboren am 25. Dezember 1967 in Hannover ledig. Von Januar 2014 bis Dezember 2015 Generalsekretärin der Sozialdemokratischen Partei Deutschlands; bis 2014 Abteilungsleiterin Grundsatz / Organisationsentwicklung der Industriegewerkschaft Bergbau, Chemie, Energie (IG BCE); seit Juni 2012 Gründungsmitglied und geschäftsführendes Vorstandsmitglied des Innovationsforums Energiewende e.V.; seit April 2005 Gewerkschaftssekretärin im Stab des Vorsitzenden der IG BCE, Ressortleiterin Politische Planung, Projektleitung Gute Arbeit, Strategische Kommunikation und Kampagnenmanagement, Internationale Gewerkschaftskontakte, Koordinierung der Modernisierungs- und Reorganisationsprozesse in der IG BCE. Januar 2004 bis April 2005 Gewerkschaftssekretärin im IG BCE-Bezirk Recklinghausen; Mai 2001 bis Januar 2004 Gewerkschaftssekretärin der Abt. Jugend der IG BCE; April 2000 bis Mai 2001 Trainee als Gewerkschaftssekretärin bei der IG BCE in den Bezirken Berlin und Münster sowie im Landesbezirk Hessen/Thüringen; Juli 1998 bis April 2000 wissenschaftliche Mitarbeiterin der Stiftung Arbeit und Umwelt der IG BCE in Hannover; April 1998 bis Juli 1998 wissenschaftliche Mitarbeiterin am Institut für Technische Chemie, Universität Hannover. 2007 bis 2013: Mitglied des SPD-Stadtverbandvorstandes Hannover; davon stellvertretende Vorsitzende von Juni 2009 bis April 2013; 1999 bis 2002 Mitglied des SPD-Parteirates und Bezirksvorstandes Hannover; 1994 bis 2002 Mitglied des SPD-Unterbezirksvorstandes Hannover-Land; 1986 bis 1997 diverse Funktionen bei Jusos auf allen Ebenen, Bildungsreferentin sowie Aktivitäten im SPD-Ortsvereinsvorstand Isernhagen. Seit Mai 2011 Gründungs- und Vorstandsmitglied Denkwerk Demokratie e.V.; August 2001 Entsendung zur XXIII. Deutsch-amerikanischen „Young Leader“-Konferenz der Atlantikbrücke e.V.; seit Juni 1998 Mitglied der Industriegewerkschaft Bergbau, Chemie, Energie; seit Oktober 1986 Mitglied der Sozialdemokratischen Partei Deutschlands.
Färber, Hermann	Geboren am 26. März 1963 in Böhmenkirch römisch-katholisch verheiratet fünf Kinder. Berufsfachschule, Ausbildung zum Landmaschinenmechaniker; Ausbildung zum Landwirtschaftsmeister. Mitarbeit im elterlichen landwirtschaftlichen Betrieb und später dessen Übernahme, seither selbstständig; Anerkennung zum Ausbildungsbetrieb; Aussiedlung und Neubau des Betriebes. AR Agrar-Redaktion GmbH, Stuttgart, ehrenamtliches Mitglied des Beirates; Mitglied des Aufsichtsrates Buchstelle LBV GmbH, Stuttgart; ehrenamtliches Mitglied der Vertreterversammlung Volksbank Göppingen eG, Göppingen; Kreisvorsitzender des Vorstandes Kreisbauernverband Göppingen e. V., Eislingen/Fils;  ehrenamtliches Mitglied des Beirates Landesbauernverband in Baden-Württemberg e.V. (LBV), Stuttgart, Mitglied des Vorstandes und des Geschäftsführenden Vorstandes Kreissparkasse Göppingen; ehrenamtliches stellvertretendes Mitglied des Kreisjagdausschusses Landkreis Göppingen. Stellvertretender Vorsitzender des CDU-Kreisverbandes Göppingen; Vorsitzender des CDU-Gemeindeverbandes Böhmenkirch; Mitglied des Kreistages von 2004 bis 2009; Mitglied der CDU seit 2012.  Mitglied des Deutschen Bundestags seit 2013.
Farle, Robert	Geboren am 16. Februar 1950 in Bitz konfessionslos geschieden zwei Kinder. Biografie: 1968 Abitur, 1974 Volks- und Betriebswirtschaftslehre; 1974 bis 1990 Kaufmännische Tätigkeiten in verschiedenen Unternehmen, seit 1990 Geschäftsführer der FSW Wirtschaftsberatung und Steuerberatungsgesellschaft mbH, 1993 Steuerberater.; 1997 bis 2010 Wirtschaftsprüfer; seit 1999 Geschäftsführer der Marcks- und Partner Steuerberatergesellschaft mbH; seit 2006 Rechtsanwalt; 2012 bis 2013 Geschäftsführer der Farle, Laux und Petermann Rechtsanwaltsgesellschaft mbH. Gesellschaftliche Funktionen: 1968 Eintritt in die DKP (Deutsche Kommunistische Partei), 1976 bis 1992 Abgeordneter,  Fraktionsvorsitzender im Stadtrat Gladbeck, danach parteilos, Mai 2015 Eintritt in die AfD, 2016 Mitglied im Kapitalmarktausschuss des Ministeriums der Finanzen des Landes Sachsen-Anhalt, Finanzpolitischer Sprecher der AfD-Fraktion im Landtag von Sachsen-Anhalt, 2017 Parlamentarischer Geschäftsführer der AfD Fraktion im Landtag Sachsen-Anhalt Seit 2008 Vorsitzender „SeeSportClub Seeburg e.V.“.
Fäscher, Ariane	Geboren am 1. März 1968 in Münster konfessionslos verheiratet zwei Kinder.
Fechner, Dr. Johannes	Geboren am 25. November 1972; verheiratet; evangelisch; zwei Kinder. 1979 bis 1983 Fritz- Boehle-Grundschule Emmendingen; 1992 Abitur am Goethe-Gymnasium Emmendingen; 1992 bis 1993 Zivildienst im Rettungsdienst des Deutschen Roten Kreuzes; 1993 bis 1998 Jura-Studium in Freiburg; 1999 bis 2000 Referendariat in Offenburg; 2000 bis 2001 Promotion, Nebentätigkeiten an der Universität Freiburg und einer Freiburger Anwaltskanzlei; Korrekturassistent Universität Freiburg, seit 2001 Rechtsanwalt in Emmendingen. Mitglied im Handball-Club Emmendingen, Hochburgverein Emmendingen, Förderverein Goethe-Gymnasium, Bürger- und Verkehrsverein Emmendingen, Tabakmuseum Mahlberg, Turnerbund Emmendingen, Ski-Club Emmendingen, TC Reute. Seit 2010 Mitglied im Landesvorstand der Arbeitsgemeinschaft sozialdemokratischer JuristInnen (Baden-Württemberg). Beirat Förderverein Seniorenanlagen. 1990 Eintritt in die SPD, Juso-Vorsitzender Emmendingen, 2000 stellvertretender und seit 2004 Kreisvorsitzender der SPD Emmendingen. 1994 bis 2013 Gemeinderat Emmendingen, seit 2009 im Kreisrat. Mitglied des Bundestages seit 2013.
Feiler, Uwe	Geboren am 2. November 1965 in Winsen/Luhe; evangelisch-lutherisch; verheiratet; drei Kinder. 1985 Abitur am Gymnasium Winsen an der Luhe, Studium der Finanzwissenschaft in der Finanzverwaltung Niedersachsen, 1988 Abschluss als Diplom-Finanzwirt; seit 1991 tätig in der Finanzverwaltung des Landes Sachsen-Anhalt. Seit 2005 Mitglied der CDU; seit 2007 Mitglied des Vorstandes der CDU Havelland; seit 2011 stellvertretender Vorsitzender der CDU Havelland; Delegierter für den Landesparteitag der CDU Brandenburg, den Landesausschuss der CDU Brandenburg und für die Landesvertreterversammlung der CDU Brandenburg; seit 2008 im Kreistag Havelland; seit 2015 Landesvorsitz Mittelstandsvereinigung Brandenburg der CDU. Mitglied des Bundestages seit 2013. In vielen Bereichen ehrenamtlich tätig, u. a. seit 1991 im Sportverein Empor Spaatz, dort elf Jahre als Vorsitzender im Vorstand; Mitglied des geschäftsführenden Vorstandes der Schützemkameradschaft Luhdorf/ Roydorf; seit 2007 Mitlgied des Menschenrechtszentrum Cottbus e.V. sowie seit 2010 im Verein zur Förderung der partnerschaftlichen und freundschaftlichen Beziehungen Havelland e.V..  Seit November 2019 Parlamentarischer Staatssekretär für Ernährung und Landwirtschaft.
Felser, Peter	Geboren am 20. September 1969 in Dillingen a.d.Donau römisch-katholisch verheiratet fünf Kinder. 1989 Abitur; 1989 bis 2001 Dienst als Zeitsoldat (Dienstgrad Oberleutnant); 1991 Offizierschule des Heeres; 1992 bis 1996 Studium der Pädagogik an der Universität der Bundeswehr , Abschluß als Diplom-Pädagoge (univ.); 2000 bis 2001 Studium der Public Relations an der University of Management and Communication (FH) in Potsdam (Abschluss: PR-Berater). Seit 2011 Gründer und geschäftsführender Gesellschafter des Start Up Unternehmen Der App Verlag GmbH. 2015 Eintritt in die AfD; seit Oktober 2016 Kreisvorsitzender im Kreis Oberallgäu-Kempten-Lindau und stellvertretender Landesvorsitzender des Mittelstandsforum der AfD Bayern. Mitgliedschaften: Deutsche Landwirtschaftsgesellschaft (DLG), Verband Deutscher Agrarjournalisten (VdAJ).
Ferlemann, Enak	Geboren am 12. Juli 1963 in Bad Rothenfelde; evangelisch-lutherisch; verheiratet, zwei Kinder. Lichtenberggymnasium, 1982 Abitur  Banklehre 1982 1984 Wehrdienst Luftwaffe 1985 Studium der Rechtswissenschaft, Politikwissenschaft und Philosophie, anschließend Tätigkeiten in wirtschaftsberatenden Berufen. 1995-2009 geschäftsführender Gesellschafter einer Wirtschaftsberatungsgesellschaft. 1976 Mitglied der Schülerunion und Jungen Union, Stadt-, Kreis- und Bezirksvorsitzender, Mitglied im Landesvorstand; Mitglied in der CDU seit 1979 1990 - 1995 Stadtverbandsvorsitzender Cuxhaven; seit 1995 Vorsitzender CDU-Kreisverband Cuxhaven; seit 1999 Vorsitzender CDU-Bezirksverband Elbe-Weser, Mitglied des Landesvorstands der Niedersachsen CDU e.V. Seit 1986 Mitglied des Rates der Stadt Cuxhaven, 1991/2009 Fraktionsvorstand, Vorsitzender des Wirtschaftsausschuss, seit 1991 Mitglied des Kreistages des Landkreises Cuxhaven Mitglied des Bundestages seit 2002; 2005 - 2009 und 2013 - 2014 Vorsitzender der Landesgruppe Niedersachsen der CDU/CSU-Fraktion, ab 2014 stellvertretender Vorsitzender der Landesgruppe Niedersachsen. 2007 - 2009 Vorsitzender des Unterausschusses Eisenbahninfrastruktur, seit Oktober 2009 Parlamentarischer Staatssekretär beim Bundesministers für Verkehr und digitale Infrastruktur, seit April 2018 zusätzlich Beauftragter der Bundesregierung für den Schienenverkehr (BSV) Sprachen: Englisch und Französisch
Ferschl, Susanne	Geboren am 10. März 1973 in Schwaz, Österreich verheiratet. 1992 Abitur; 1992 bis 1995 Ausbildung zur Chemielaborantin; 2014 Ausbildung zum Business Coach (IHK); November 2016 Abschluss als Wirtschaftsmediatorin; 1992 Eintritt in die Gewerkschaft NGG (Nahrung Genuss Gasstätten); 1994 bis 1998 Jugend- und Auszubildendenvertreterin im Nestlé Werk in Biessenhofen, ab 1998 dort Betriebsrätin, 2000 bis August 2019 freigestellte Betriebsratsvorsitzende, 2006 bis 2018 Gesamtbetriebsratsvorsitzende der Nestlé Deutschland AG; 2002 bis 2017 Mitglied im Europäischen Betriebsrat; 2000 bis 2015 Mitglied im Landes- und Bundesvorstand der Gewerkschaft NGG; bis Anfang 2018 Regionsvorsitzende der Gewerkschaft NGG im Allgäu. Seit Juli 2016 Mitglied im Landesvorstand Die Linke Bayern, seit 2017 Mitglied im geschäftsführendem Landesvorstand.
